platform,profile_id,cycle,timestamp,longitude,latitude,pressure_dbar,pressure_qc,temperature_c,temperature_qc,salinity_psu,salinity_qc,chla_mg_m3,chla_qc,nitrate_umol_kg,nitrate_qc,ph_in_situ_total,ph_qc,doxy_umol_kg,doxy_qc,bbp700_m1,bbp700_qc
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,67.150002,1,,,,,0.066289,1,0.649631,1,8.06341,1,223.325058,1,0.000784,1
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,68.330002,1,21.327,1,34.665001,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,70.230003,1,21.291,1,34.676998,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,71.920006,1,,,,,0.084367,1,0.885895,1,8.058385,1,221.286819,1,0.000902,1
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,72.230003,1,21.156,1,34.688999,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,74.330002,1,21.073999,1,34.688,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,76.230003,1,20.846001,1,34.701,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,77.050003,1,,,,,0.256115,1,0.665208,1,8.060315,1,217.525848,1,0.00102,1
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,78.230003,1,20.629999,1,34.714001,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,80.530006,1,20.089001,1,34.710999,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,81.990005,1,,,,,0.216944,1,1.409277,1,8.066054,1,214.947464,1,0.000736,1
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,82.130005,1,19.959999,1,34.716999,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,84.230003,1,19.794001,1,34.717999,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,86.130005,1,19.652,1,34.720001,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,86.790009,1,,,,,0.189826,1,1.060607,1,8.060205,1,213.193237,1,0.000747,1
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,88.130005,1,19.544001,1,34.724998,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,90.230003,1,19.447001,1,34.731998,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,91.740005,1,,,,,0.141617,1,1.788849,1,8.056798,1,212.703506,1,0.000688,1
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,92.230003,1,19.402,1,34.740002,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,94.230003,1,19.346001,1,34.737,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,96.230003,1,19.264999,1,34.726002,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,97.050003,1,,,,,0.111485,1,1.162979,1,8.052216,1,220.184814,1,0.000617,1
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,98.330002,1,19.181,1,34.716999,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,100.230003,1,19.079,1,34.713001,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,102.090004,1,,,,,0.102446,1,1.206866,1,8.062188,1,217.847122,1,0.000593,1
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,102.230003,1,19.006001,1,34.716999,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,104.230003,1,18.937,1,34.714001,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,106.230003,1,18.886999,1,34.714001,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,108.230003,1,18.799999,1,34.715,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,110.230003,1,18.764999,1,34.714001,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,112.100006,1,,,,,0.075328,1,1.669407,1,8.058956,1,219.832321,1,0.000487,1
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,112.230003,1,18.709999,1,34.714001,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,114.230003,1,18.643,1,34.715,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,116.230003,1,18.584,1,34.712002,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,118.130005,1,18.554001,1,34.708,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,120.230003,1,18.486,1,34.709,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,122.060005,1,,,,,0.060262,1,2.302945,1,8.05356,1,214.303436,1,0.000534,1
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,122.230003,1,18.459999,1,34.714001,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,124.230003,1,18.450001,1,34.714001,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,126.230003,1,18.417,1,34.714001,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,128.229996,1,18.327,1,34.709,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,130.229996,1,18.25,1,34.709,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,132.009995,1,,,,,0.039171,1,2.739665,1,8.056477,1,211.519318,1,0.000439,1
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,132.229996,1,18.221001,1,34.714001,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,134.229996,1,18.191999,1,34.722,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,136.229996,1,18.152,1,34.723,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,138.229996,1,18.124001,1,34.723999,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,140.229996,1,18.117001,1,34.723999,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,141.919998,1,,,,,0.042184,1,2.893055,1,8.049874,1,212.417969,1,0.000439,1
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,142.229996,1,18.105,1,34.723999,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,144.229996,1,18.069,1,34.724998,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,146.229996,1,18.028,1,34.723,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,148.229996,1,18.011,1,34.722,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,150.229996,1,17.988001,1,34.723,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,151.889999,1,,,,,0.030131,1,3.105932,1,8.050445,1,211.815292,1,0.000368,1
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,152.229996,1,17.948999,1,34.722,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,154.229996,1,17.903999,1,34.719002,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,156.229996,1,17.886999,1,34.717999,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,158.229996,1,17.870001,1,34.716999,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,160.229996,1,17.846001,1,34.717999,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,161.970001,1,,,,,0.012052,1,3.281964,1,8.047118,1,211.298645,1,0.000391,1
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,162.229996,1,17.806,1,34.716999,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,164.229996,1,17.791,1,34.716,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,166.229996,1,17.778,1,34.716,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,168.229996,1,17.763,1,34.716,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,170.229996,1,17.747,1,34.716999,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,171.610001,1,,,,,0.009039,1,3.368171,1,8.046208,1,212.949615,1,0.000344,1
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,172.229996,1,17.732,1,34.716999,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,174.229996,1,17.714001,1,34.715,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,176.229996,1,17.690001,1,34.714001,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,178.229996,1,17.684,1,34.714001,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,180.229996,1,17.677,1,34.713001,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,182.169998,1,,,,,0.003013,1,3.625415,1,8.04585,1,212.76857,1,0.000332,1
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,182.229996,1,17.67,1,34.713001,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,184.229996,1,17.646999,1,34.712002,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,186.229996,1,17.632,1,34.709999,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,188.229996,1,17.625,1,34.709999,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,190.229996,1,17.607,1,34.709,1,,,,,,,,,,
